Image,changed_item_long,changed_item_short,,,
display1,NA,NA,,,
display2,NA,NA,,,
display3,NA,NA,,,
display4,NA,NA,,,
display5,NA,NA,,,
display6,NA,NA,,,
display7,NA,NA,,,
display8,NA,NA,,,
display9,NA,NA,,,
display10,NA,NA,,,
display11,NA,NA,,,
display12,NA,NA,,,
display13,NA,NA,,,
display14,NA,NA,,,
display15,NA,NA,,,
display16,NA,NA,,,
display17,NA,NA,,,
display18,NA,NA,,,
display19,NA,NA,,,
display20,NA,NA,,,
display21,NA,NA,,,
display22,NA,NA,,,
display23,NA,NA,,,
display24,NA,NA,,,
display25,NA,NA,,,
display26,NA,NA,,,
display27,NA,NA,,,
display28,NA,NA,,,
display29,NA,NA,,,
display30,NA,NA,,,
display31,NA,NA,,,
display32,NA,NA,,,
display33,NA,NA,,,
display34,NA,NA,,,
display35,NA,NA,,,
display36,NA,NA,,,
display37,NA,NA,,,
display38,NA,NA,,,
display39,NA,NA,,,
display40,NA,NA,,,
display41,NA,NA,,,
display42,NA,NA,,,
display43,NA,NA,,,
display44,NA,NA,,,
display45,NA,NA,,,
display46,NA,NA,,,
display47,NA,NA,,,
display48,NA,NA,,,
display49,NA,NA,,,
display50,NA,NA,,,
